controller,method,route,col3,col4,param,col6,annotation,request
XSS,safe2,/XSS/filter,{...},GetMapping,content,String,no AnAnnotation,
XSS,safe3,/XSS/whitelist,,GetMapping,content,String,no AnAnnotation,
XSS,safe3,/XSS/whitelist,"""""",GetMapping,content,String,no AnAnnotation,
XSS,safe3,/XSS/whitelist,{...},GetMapping,content,String,no AnAnnotation,
XSS,safe4,/XSS/esapi,,GetMapping,content,String,no AnAnnotation,
XSS,safe4,/XSS/esapi,"""""",GetMapping,content,String,no AnAnnotation,
XSS,safe4,/XSS/esapi,{...},GetMapping,content,String,no AnAnnotation,
XXE,XMLReader,/XXE/XMLReader,,RequestMapping,content,String,RequestParam,
XXE,XMLReader,/XXE/XMLReader,"""""",RequestMapping,content,String,RequestParam,
XXE,XMLReader,/XXE/XMLReader,{...},RequestMapping,content,String,RequestParam,
XXE,XMLReader,/XXE/XMLReader,application/x-www-form-urlencoded,RequestMapping,content,String,RequestParam,
XXE,SAXParser,/XXE/SAXParser,,RequestMapping,content,String,RequestParam,
XXE,SAXParser,/XXE/SAXParser,"""""",RequestMapping,content,String,RequestParam,
XXE,SAXParser,/XXE/SAXParser,{...},RequestMapping,content,String,RequestParam,
XXE,SAXParser,/XXE/SAXParser,application/x-www-form-urlencoded,RequestMapping,content,String,RequestParam,
XXE,handleCustomer,/XXE/xmlbeam,,RequestMapping,POST Data,Customer,RequestBody,
XXE,handleCustomer,/XXE/xmlbeam,"""""",RequestMapping,POST Data,Customer,RequestBody,
XXE,handleCustomer,/XXE/xmlbeam,{...},RequestMapping,POST Data,Customer,RequestBody,
XXE,handleCustomer,/XXE/xmlbeam,application/json,RequestMapping,POST Data,Customer,RequestBody,
XXE,SAXReader,/XXE/SAXReader,,RequestMapping,content,String,RequestParam,
XXE,SAXReader,/XXE/SAXReader,"""""",RequestMapping,content,String,RequestParam,
XXE,SAXReader,/XXE/SAXReader,{...},RequestMapping,content,String,RequestParam,
XXE,SAXReader,/XXE/SAXReader,application/x-www-form-urlencoded,RequestMapping,content,String,RequestParam,
XXE,SAXBuilder,/XXE/SAXBuilder,,RequestMapping,POST Data,String,RequestBody,
XXE,SAXBuilder,/XXE/SAXBuilder,"""""",RequestMapping,POST Data,String,RequestBody,
XXE,SAXBuilder,/XXE/SAXBuilder,{...},RequestMapping,POST Data,String,RequestBody,
XXE,SAXBuilder,/XXE/SAXBuilder,application/json,RequestMapping,POST Data,String,RequestBody,
XXE,DocumentBuilder,/XXE/DocumentBuilder,,RequestMapping,content,String,RequestParam,
XXE,DocumentBuilder,/XXE/DocumentBuilder,"""""",RequestMapping,content,String,RequestParam,
XXE,DocumentBuilder,/XXE/DocumentBuilder,{...},RequestMapping,content,String,RequestParam,
XXE,DocumentBuilder,/XXE/DocumentBuilder,application/x-www-form-urlencoded,RequestMapping,content,String,RequestParam,
XXE,Unmarshaller,/XXE/unmarshaller,,RequestMapping,POST Data,String,RequestBody,
XXE,Unmarshaller,/XXE/unmarshaller,"""""",RequestMapping,POST Data,String,RequestBody,
XXE,Unmarshaller,/XXE/unmarshaller,{...},RequestMapping,POST Data,String,RequestBody,
XXE,Unmarshaller,/XXE/unmarshaller,application/json,RequestMapping,POST Data,String,RequestBody,
XXE,check,/XXE/safe,,RequestMapping,content,String,RequestParam,
XXE,check,/XXE/safe,"""""",RequestMapping,content,String,RequestParam,
XXE,check,/XXE/safe,{...},RequestMapping,content,String,RequestParam,
XXE,check,/XXE/safe,application/x-www-form-urlencoded,RequestMapping,content,String,RequestParam,
